channel_id,channel_name,subscriber_count,video_count,saved_date,last_fetched,total_views,notes
UChxtIA33ty53Hh4MmkXNASg,mikimiki web スクール,351000,740,2025-07-28,2025-12-09,27483160,
UCpUQnk6MaY4o3NdgJmv10cw,いけともch,191000,334,2025-07-25,2025-12-09,11990696,
UCfapRkagDtoQEkGeyD3uERQ,KEITO【AI&WEB ch】,175000,399,2025-07-28,2025-12-09,13315608,
UCbxNKPuL7G3M_Zjt03d2IYA,#usutaku_channel,157000,153,2025-12-01,2025-12-09,21160035,
UClNZUVnSFRKKUfJYarEUqdA,ウェブ職TV,145000,2800,2025-07-28,2025-12-09,28665568,
UC8IWoNfegB72Q2nT9GJy2zQ,セイト先生のWeb・ITエンジニア転職ラボ,128000,488,2025-07-28,2025-12-09,25721040,
UC452hry4DI_pDn_CVT9ZKhQ,だれでもエンジニア / 山浦清透,127000,228,2025-07-27,2025-12-09,27291812,
UCNTxclE0N4qsUuirssL_D8w,プログラミングチュートリアル,66600,243,2025-07-27,2025-12-09,5289651,
UCZQVTC3uLCyuJUOcRlguazA,にゃんたのAIチャンネル,65200,196,2025-07-27,2025-12-09,4449498,
UCCIPlDofGZVef3HArQBRrEw,【さき】のAIでええやん。,61000,25,2025-07-28,2025-12-09,1609535,
UCWMrA-2fEycFnOwqzzdwWuQ,かいちのAI大学【株式会社Saix】,44100,329,2025-07-28,2025-12-09,2371861,
UCXo1SsIDZ_dke2Nr1r3qk6w,AI大学【AI&ChatGPT最新情報】,42500,495,2025-12-01,2025-12-09,3102684,
UC9AuyS7U4PxeDSNMJ2srarA,AIでサボろうチャンネル,43000,48,2025-07-28,2025-12-09,1274960,
UC9buL3Iph_f7AZxdzmiBL8Q,チャエン【AI研究所】,36300,285,2025-07-27,2025-12-09,1808838,
UC2NOk8DQ-KLc9ticdLPiOXQ,Rei丨暮らしとNotion。,33200,133,2025-07-31,2025-12-09,3181424,
UCx3CHuiy-14g2y4hqkpnebQ,Akiyama Yuta(AI活用術),32700,126,2025-12-07,2025-12-09,2265436,
UC-6PArqgIb3ttTQWgqVgebg,AIツールの達人,16500,43,2025-12-02,2025-12-09,146787,
UCRxPq02pjQS_ax60gcTSDHQ,AI仙人【AI歴10年】,14700,5,2025-12-07,2025-12-09,217016,
UCvHpETRVi1tXeRJoYiXHJqw,まさおAIじっくり解説ch,14100,490,2025-07-25,2025-12-09,2050962,
UC6eCFcJpPFNP_P6Y0bKHqKg,taishiyade@元シリコンバレーCTO,13600,141,2025-07-25,2025-12-09,836239,
UC8FwuifT73FtnO93ZUNSoLg,ダイさん・AI活用の専門家,13100,30,2025-07-28,2025-12-09,570926,
UCQS_En3RoNVc4z-77tEkzaA,たくむ【AI効率化】,12700,15,2025-12-02,2025-12-09,592021,
UC4nPvEed6-yII4LNxml8r_w,あやや の ITスキルアップ塾,11300,119,2025-07-27,2025-12-09,686570,
UCvHWXCArRIMGcIpoQCUfaXA,スマート仕事術研究所【スマ研】,9980,2,2025-07-28,2025-12-09,395473,
UCfElKzihodObRfXusuixUPw,ぶべの開発日記,9810,90,2025-07-26,2025-12-09,631622,
UC33i4L38BFXWc2DDFv0n29Q,Oh my week,9420,573,2025-07-28,2025-12-09,1532250,
UCPmTf7gZcJD9Fk6t781ZO2Q,としのフリーランス養成所,5840,52,2025-07-28,2025-12-09,244162,
UCoY_sFxwRUcwzQU74ofqQWg,ジェネトピ | AIラジオ,1,1,2025-07-27,2025-12-09,53,
UCjQ3Ha4-lnsXchctRKU53lQ,Kyohei - OSS 外資IT,4630,27,2025-11-30,2025-12-09,118272,
UCSWagA2ldGIvlkip01H--dg,AIチュートリアル | いしだ,3510,69,2025-07-28,2025-12-09,168388,
UC8HllGWXajG0eF3WfZzwhmA,TomorrowProof / トゥモロープルーフ,2980,67,2025-07-26,2025-12-09,95314,
UCPZXI_bQhZpcUzDxBg_HCJg,ミナト【有益AI活用ch】,3580,8,2025-12-07,2025-12-09,75892,
UCwpnuej7z7zpNfYMEDh2loQ,れん@AIでアプリ開発,813,16,2025-07-25,2025-12-09,29281,
UCVUzKOty5gHMAgHsoMc1_Hw,Yuta | AIにとことん触るチャンネル,751,37,2025-07-25,2025-12-09,64808,
UCKNiT_HYgBWMcFjaxZBpduQ,AIコーディング実況 / 三森一輝,526,30,2025-12-07,2025-12-09,24365,
